speaker,ruling,count
Donald Trump,pants-fire,20
Donald Trump,half-true,15
Donald Trump,barely-true,27
Donald Trump,false,55
Donald Trump,mostly-true,7
Donald Trump,true,5
Bernie Sanders,mostly-true,13
Bernie Sanders,half-true,15
Bernie Sanders,barely-true,4
Bernie Sanders,true,5
Bernie Sanders,false,3
Joe Biden,mostly-true,9
Joe Biden,true,4
Joe Biden,pants-fire,1
Joe Biden,barely-true,12
Joe Biden,false,5
Joe Biden,half-true,5
Elizabeth Warren,false,2
Elizabeth Warren,barely-true,4
Elizabeth Warren,mostly-true,7
Elizabeth Warren,true,7
Elizabeth Warren,half-true,7
Kamala Harris,barely-true,4
Kamala Harris,false,5
Kamala Harris,mostly-true,5
Kamala Harris,half-true,2
Kamala Harris,full-flop,1
Pete Buttigieg,barely-true,5
Pete Buttigieg,half-true,4
Pete Buttigieg,true,3
Pete Buttigieg,false,1
Pete Buttigieg,mostly-true,2
Amy Klobuchar,barely-true,1
Amy Klobuchar,true,4
Amy Klobuchar,half-true,3
Amy Klobuchar,mostly-true,4
Amy Klobuchar,false,1
Beto O'Rourke,false,1
Beto O'Rourke,true,3
Beto O'Rourke,barely-true,3
Beto O'Rourke,mostly-true,4
Beto O'Rourke,half-true,2
Michael Bloomberg,half-true,3
Michael Bloomberg,true,3
Michael Bloomberg,mostly-true,4
Michael Bloomberg,barely-true,1
Michael Bloomberg,false,1