age,people,sex,year
0,1483789,1,1850
0,1450376,2,1850
5,1411067,1,1850
5,1359668,2,1850
10,1260099,1,1850
10,1216114,2,1850
15,1077133,1,1850
15,1110619,2,1850
20,1017281,1,1850
20,1003841,2,1850
25,862547,1,1850
25,799482,2,1850
30,730638,1,1850
30,639636,2,1850
35,588487,1,1850
35,505012,2,1850
40,475911,1,1850
40,428185,2,1850
45,384211,1,1850
45,341254,2,1850
50,321343,1,1850
50,286580,2,1850
55,194080,1,1850
55,187208,2,1850
60,174976,1,1850
60,162236,2,1850
65,106827,1,1850
65,105534,2,1850
70,73677,1,1850
70,71762,2,1850
75,40834,1,1850
75,40229,2,1850
80,23449,1,1850
80,22949,2,1850
85,8186,1,1850
85,10511,2,1850
90,5259,1,1850
90,6569,2,1850
0,2120846,1,1860
0,2092162,2,1860
5,1804467,1,1860
5,1778772,2,1860
10,1612640,1,1860
10,1540350,2,1860
15,1438094,1,1860
15,1495999,2,1860
20,1351121,1,1860
20,1370462,2,1860
25,1217615,1,1860
25,1116373,2,1860
30,1043174,1,1860
30,936055,2,1860
35,866910,1,1860
35,737136,2,1860
40,699434,1,1860
40,616826,2,1860
45,552404,1,1860
45,461739,2,1860
50,456176,1,1860
50,407305,2,1860
55,292417,1,1860
55,267224,2,1860
60,260887,1,1860
60,249735,2,1860
65,149331,1,1860
65,141405,2,1860
70,98465,1,1860
70,101778,2,1860
75,56699,1,1860
75,57597,2,1860
80,29007,1,1860
80,29506,2,1860
85,10434,1,1860
85,14053,2,1860
90,7232,1,1860
90,6622,2,1860
0,2800083,1,1870
0,2717102,2,1870
5,2428469,1,1870
5,2393680,2,1870
10,2427341,1,1870
10,2342670,2,1870
15,1958390,1,1870
15,2077248,2,1870
20,1805303,1,1870
20,1909382,2,1870
25,1509059,1,1870
25,1574285,2,1870
30,1251534,1,1870
30,1275629,2,1870
35,1185336,1,1870
35,1137490,2,1870
40,968861,1,1870
40,944401,2,1870
45,852672,1,1870
45,747916,2,1870
50,736387,1,1870
50,637801,2,1870
55,486036,1,1870
55,407819,2,1870
60,399264,1,1870
60,374801,2,1870
65,260829,1,1870
65,239080,2,1870
70,173364,1,1870
70,165501,2,1870
75,86929,1,1870
75,89540,2,1870
80,47427,1,1870
80,54190,2,1870
85,15891,1,1870
85,19302,2,1870
90,8649,1,1870
90,13068,2,1870
0,3533662,1,1880
0,3421597,2,1880
5,3297503,1,1880
5,3179142,2,1880
10,2911924,1,1880
10,2813550,2,1880
15,2457734,1,1880
15,2527818,2,1880
20,2547780,1,1880
20,2512803,2,1880
25,2119393,1,1880
25,1974241,2,1880
30,1749107,1,1880
30,1596772,2,1880
35,1540772,1,1880
35,1483717,2,1880
40,1237347,1,1880
40,1239435,2,1880
45,1065973,1,1880
45,1003711,2,1880
50,964484,1,1880
50,863012,2,1880
55,679147,1,1880
55,594843,2,1880
60,580298,1,1880
60,526956,2,1880
65,369398,1,1880
65,346303,2,1880
70,255422,1,1880
70,251860,2,1880
75,141628,1,1880
75,143513,2,1880
80,67526,1,1880
80,77290,2,1880
85,22437,1,1880
85,31227,2,1880
90,10272,1,1880
90,15451,2,1880
0,4619544,1,1900
0,4589196,2,1900
5,4465783,1,1900
5,4390483,2,1900
10,4057669,1,1900
10,4001749,2,1900
15,3774846,1,1900
15,3801743,2,1900
20,3694038,1,1900
20,3751061,2,1900
25,3389280,1,1900
25,3236056,2,1900
30,2918964,1,1900
30,2665174,2,1900
35,2633883,1,1900
35,2347737,2,1900
40,2261070,1,1900
40,2004987,2,1900
45,1868413,1,1900
45,1648025,2,1900
50,1571038,1,1900
50,1411981,2,1900
55,1161908,1,1900
55,1064632,2,1900
60,916571,1,1900
60,887508,2,1900
65,672663,1,1900
65,640212,2,1900
70,454747,1,1900
70,440007,2,1900
75,268211,1,1900
75,265879,2,1900
80,127435,1,1900
80,132449,2,1900
85,44008,1,1900
85,48614,2,1900
90,15164,1,1900
90,20093,2,1900
0,5296823,1,1910
0,5287477,2,1910
5,4991803,1,1910
5,4866139,2,1910
10,4650747,1,1910
10,4471887,2,1910
15,4566154,1,1910
15,4592269,2,1910
20,4637632,1,1910
20,4447683,2,1910
25,4257755,1,1910
25,3946153,2,1910
30,3658125,1,1910
30,3295220,2,1910
35,3427518,1,1910
35,3088990,2,1910
40,2860229,1,1910
40,2471267,2,1910
45,2363801,1,1910
45,2114930,2,1910
50,2126516,1,1910
50,1773592,2,1910
55,1508358,1,1910
55,1317651,2,1910
60,1189421,1,1910
60,1090697,2,1910
65,850159,1,1910
65,813868,2,1910
70,557936,1,1910
70,547623,2,1910
75,322679,1,1910
75,350900,2,1910
80,161715,1,1910
80,174315,2,1910
85,59699,1,1910
85,62725,2,1910
90,23929,1,1910
90,28965,2,1910
0,5934792,1,1920
0,5694244,2,1920
5,5789008,1,1920
5,5693960,2,1920
10,5401156,1,1920
10,5293057,2,1920
15,4724365,1,1920
15,4779936,2,1920
20,4549411,1,1920
20,4742632,2,1920
25,4565066,1,1920
25,4529382,2,1920
30,4110771,1,1920
30,3982426,2,1920
35,4081543,1,1920
35,3713810,2,1920
40,3321923,1,1920
40,3059757,2,1920
45,3143891,1,1920
45,2669089,2,1920
50,2546035,1,1920
50,2200491,2,1920
55,1880975,1,1920
55,1674672,2,1920
60,1587549,1,1920
60,1382877,2,1920
65,1095956,1,1920
65,989901,2,1920
70,714618,1,1920
70,690097,2,1920
75,417292,1,1920
75,439465,2,1920
80,187000,1,1920
80,211110,2,1920
85,75991,1,1920
85,92829,2,1920
90,22398,1,1920
90,32085,2,1920
0,5875250,1,1930
0,5662530,2,1930
5,6542592,1,1930
5,6129561,2,1930
10,6064820,1,1930
10,5986529,2,1930
15,5709452,1,1930
15,5769587,2,1930
20,5305992,1,1930
20,5565382,2,1930
25,4929853,1,1930
25,5050229,2,1930
30,4424408,1,1930
30,4455213,2,1930
35,4576531,1,1930
35,4593776,2,1930
40,4075139,1,1930
40,3754022,2,1930
45,3633152,1,1930
45,3396558,2,1930
50,3128108,1,1930
50,2809191,2,1930
55,2434077,1,1930
55,2298614,2,1930
60,1927564,1,1930
60,1783515,2,1930
65,1397275,1,1930
65,1307312,2,1930
70,919045,1,1930
70,918509,2,1930
75,536375,1,1930
75,522716,2,1930
80,246708,1,1930
80,283579,2,1930
85,88978,1,1930
85,109210,2,1930
90,30338,1,1930
90,43483,2,1930
0,5294628,1,1940
0,5124653,2,1940
5,5468378,1,1940
5,5359099,2,1940
10,5960416,1,1940
10,5868532,2,1940
15,6165109,1,1940
15,6193701,2,1940
20,5682414,1,1940
20,5896002,2,1940
25,5438166,1,1940
25,5664244,2,1940
30,5040048,1,1940
30,5171522,2,1940
35,4724804,1,1940
35,4791809,2,1940
40,4437392,1,1940
40,4394061,2,1940
45,4190187,1,1940
45,4050290,2,1940
50,3785735,1,1940
50,3488396,2,1940
55,2972069,1,1940
55,2810000,2,1940
60,2370232,1,1940
60,2317790,2,1940
65,1897678,1,1940
65,1911117,2,1940
70,1280023,1,1940
70,1287711,2,1940
75,713875,1,1940
75,764915,2,1940
80,359418,1,1940
80,414761,2,1940
85,127303,1,1940
85,152131,2,1940
90,42263,1,1940
90,58119,2,1940
0,8211806,1,1950
0,7862267,2,1950
5,6706601,1,1950
5,6450863,2,1950
10,5629744,1,1950
10,5430835,2,1950
15,5264129,1,1950
15,5288742,2,1950
20,5573308,1,1950
20,5854227,2,1950
25,6007254,1,1950
25,6317332,2,1950
30,5676022,1,1950
30,5895178,2,1950
35,5511364,1,1950
35,5696261,2,1950
40,5076985,1,1950
40,5199224,2,1950
45,4533177,1,1950
45,4595842,2,1950
50,4199164,1,1950
50,4147295,2,1950
55,3667351,1,1950
55,3595158,2,1950
60,3035038,1,1950
60,3009768,2,1950
65,2421234,1,1950
65,2548250,2,1950
70,1627920,1,1950
70,1786831,2,1950
75,1006530,1,1950
75,1148469,2,1950
80,511727,1,1950
80,637717,2,1950
85,182821,1,1950
85,242798,2,1950
90,54836,1,1950
90,90766,2,1950
0,10374975,1,1960
0,10146999,2,1960
5,9495503,1,1960
5,9250741,2,1960
10,8563700,1,1960
10,8310764,2,1960
15,6620902,1,1960
15,6617493,2,1960
20,5268384,1,1960
20,5513495,2,1960
25,5311805,1,1960
25,5548259,2,1960
30,5801342,1,1960
30,6090862,2,1960
35,6063063,1,1960
35,6431337,2,1960
40,5657943,1,1960
40,5940520,2,1960
45,5345658,1,1960
45,5516028,2,1960
50,4763364,1,1960
50,4928844,2,1960
55,4170581,1,1960
55,4402878,2,1960
60,3405293,1,1960
60,3723839,2,1960
65,2859371,1,1960
65,3268699,2,1960
70,2115763,1,1960
70,2516479,2,1960
75,1308913,1,1960
75,1641371,2,1960
80,619923,1,1960
80,856952,2,1960
85,253245,1,1960
85,384572,2,1960
90,75908,1,1960
90,135774,2,1960
0,8685121,1,1970
0,8326887,2,1970
5,10411131,1,1970
5,10003293,2,1970
10,10756403,1,1970
10,10343538,2,1970
15,9605399,1,1970
15,9414284,2,1970
20,7729202,1,1970
20,8341830,2,1970
25,6539301,1,1970
25,6903041,2,1970
30,5519879,1,1970
30,5851441,2,1970
35,5396732,1,1970
35,5708021,2,1970
40,5718538,1,1970
40,6129319,2,1970
45,5794120,1,1970
45,6198742,2,1970
50,5298312,1,1970
50,5783817,2,1970
55,4762911,1,1970
55,5222164,2,1970
60,4037643,1,1970
60,4577251,2,1970
65,3142606,1,1970
65,3894827,2,1970
70,2340826,1,1970
70,3138009,2,1970
75,1599269,1,1970
75,2293376,2,1970
80,886155,1,1970
80,1417553,2,1970
85,371123,1,1970
85,658511,2,1970
90,186502,1,1970
90,314929,2,1970
0,8439366,1,1980
0,8081854,2,1980
5,8680730,1,1980
5,8275881,2,1980
10,9452338,1,1980
10,9048483,2,1980
15,10698856,1,1980
15,10410271,2,1980
20,10486776,1,1980
20,10614947,2,1980
25,9624053,1,1980
25,9827903,2,1980
30,8705835,1,1980
30,8955225,2,1980
35,6852069,1,1980
35,7134239,2,1980
40,5692148,1,1980
40,5953910,2,1980
45,5342469,1,1980
45,5697543,2,1980
50,5603709,1,1980
50,6110117,2,1980
55,5485098,1,1980
55,6160229,2,1980
60,4696140,1,1980
60,5456885,2,1980
65,3893510,1,1980
65,4896947,2,1980
70,2857774,1,1980
70,3963441,2,1980
75,1840438,1,1980
75,2951759,2,1980
80,1012886,1,1980
80,1919292,2,1980
85,472338,1,1980
85,1023115,2,1980
90,204148,1,1980
90,499046,2,1980
0,9307465,1,1990
0,8894007,2,1990
5,9274732,1,1990
5,8799955,2,1990
10,8782542,1,1990
10,8337284,2,1990
15,9020572,1,1990
15,8590991,2,1990
20,9436188,1,1990
20,9152644,2,1990
25,10658027,1,1990
25,10587292,2,1990
30,11028712,1,1990
30,11105750,2,1990
35,9853933,1,1990
35,10038644,2,1990
40,8712632,1,1990
40,8928252,2,1990
45,6848082,1,1990
45,7115129,2,1990
50,5553992,1,1990
50,5899925,2,1990
55,4981670,1,1990
55,5460506,2,1990
60,4953822,1,1990
60,5663205,2,1990
65,4538398,1,1990
65,5594108,2,1990
70,3429420,1,1990
70,4610222,2,1990
75,2344932,1,1990
75,3723980,2,1990
80,1342996,1,1990
80,2545730,2,1990
85,588790,1,1990
85,1419494,2,1990
90,238459,1,1990
90,745146,2,1990
0,9735380,1,2000
0,9310714,2,2000
5,10552146,1,2000
5,10069564,2,2000
10,10563233,1,2000
10,10022524,2,2000
15,10237419,1,2000
15,9692669,2,2000
20,9731315,1,2000
20,9324244,2,2000
25,9659493,1,2000
25,9518507,2,2000
30,10205879,1,2000
30,10119296,2,2000
35,11475182,1,2000
35,11635647,2,2000
40,11320252,1,2000
40,11488578,2,2000
45,9925006,1,2000
45,10261253,2,2000
50,8507934,1,2000
50,8911133,2,2000
55,6459082,1,2000
55,6921268,2,2000
60,5123399,1,2000
60,5668961,2,2000
65,4453623,1,2000
65,4804784,2,2000
70,3792145,1,2000
70,5184855,2,2000
75,2912655,1,2000
75,4355644,2,2000
80,1902638,1,2000
80,3221898,2,2000
85,970357,1,2000
85,1981156,2,2000
90,336303,1,2000
90,1064581,2,2000
